Type,Data
Driver,"1,VEMZI,57,False,True,True,False,False,None"
Driver,"2,KFUDK,32,False,False,False,False,False,None"
Driver,"3,TYUZB,43,True,True,False,True,False,None"
Driver,"4,FAEIP,27,True,False,True,False,False,None"
Driver,"5,AEINM,23,True,True,True,False,True,None"
Driver,"6,SQYDL,26,True,True,True,True,True,None"
Driver,"7,FBEAU,25,False,False,False,False,True,None"
Driver,"8,UXUMV,42,False,True,True,True,False,None"
Driver,"9,KWINE,39,True,False,False,False,True,None"
Driver,"10,NKRNQ,34,True,True,False,False,True,None"
Driver,"11,CHOYI,37,True,True,True,False,False,None"
Driver,"12,BNYKS,29,True,True,False,True,True,None"
Driver,"13,ZIMXA,30,True,True,True,False,False,None"
Driver,"14,RUBBC,41,False,True,True,True,False,None"
Driver,"15,IKESV,48,False,True,False,False,False,None"
Driver,"16,VYLNE,31,False,False,True,False,True,None"
Driver,"17,FSUIJ,28,False,True,True,True,False,None"
Driver,"18,QFQRX,22,False,False,False,True,False,None"
Driver,"19,ALFDS,30,True,True,True,False,False,None"
Driver,"20,TVQNW,23,False,False,True,False,False,None"
Driver,"21,OXGWC,24,False,True,True,True,False,None"
Driver,"22,TQMHG,60,True,False,False,False,False,None"
Driver,"23,WTXTX,58,False,True,False,True,True,None"
Driver,"24,SHHMP,22,True,False,False,False,False,None"
Driver,"25,BHSEU,49,True,False,True,True,True,None"
Driver,"26,ALAQL,58,True,True,False,True,True,None"
Driver,"27,ZQGYM,58,True,False,False,False,False,None"
Driver,"28,PLSBR,57,True,True,True,False,True,None"
Driver,"29,EPQUW,39,True,False,True,True,False,None"
Driver,"30,IZHTY,30,False,False,False,False,False,None"
Driver,"31,AICHJ,44,True,False,True,False,False,None"
Driver,"32,XOXEX,28,False,True,False,False,False,None"
Driver,"33,TGKAN,21,False,True,True,True,False,None"
Driver,"34,NINNS,56,False,False,False,False,True,None"
Driver,"35,KIPQJ,38,False,False,True,True,True,None"
Driver,"36,CSLPI,37,False,True,True,True,True,None"
Driver,"37,RSABU,50,True,True,False,False,False,None"
Driver,"38,FISUZ,42,True,True,False,True,False,None"
Driver,"39,CADEL,21,False,True,True,True,True,None"
Driver,"40,NITWF,23,True,False,False,True,False,None"
Driver,"41,NIPBN,31,True,True,True,False,False,None"
Driver,"42,EKVUN,21,True,False,True,True,False,None"
Driver,"43,MNOOU,59,True,True,True,False,False,None"
Driver,"44,NCCLO,54,True,True,False,True,True,None"
Driver,"45,OLGJS,51,True,True,False,True,False,None"
Driver,"46,RJNOO,58,True,False,False,False,True,None"
Driver,"47,ZQKZE,54,False,True,False,False,False,None"
Driver,"48,ZFGOE,48,True,True,False,False,True,None"
Driver,"49,SXPNW,29,False,False,False,False,True,None"
Driver,"50,ANEMP,54,True,False,True,True,False,None"
Driver,"51,EOKWC,36,False,True,True,True,True,None"
Driver,"52,DZKWV,27,True,True,False,True,False,None"
Driver,"53,RPXCM,56,False,False,True,True,True,None"
Driver,"54,ZSTXO,59,True,True,False,True,True,None"
Driver,"55,VLLGR,44,False,False,True,True,True,None"
Driver,"56,PMTZO,45,False,True,True,True,False,None"
